LASTNAME,FIRSTNAME,TITLE
HOLLOWAY,SARAH,CUST SERVICE AGT.
PETTIES,ROGER,CUSTOMER SERVICE AGENT
DELGADO,ESTHER,MARKETING LEAD
ELLIOTT,JOANN,COUNTRY MANAGER
OWENS,BENJAMIN,DEPARTMENT MANAGER
TSAI,JAMES,GLOBAL MANAGER
ATKINS,RANDY,BRANCH MGR.
AVERA,DANIELLE,CUSTOMER SERVICE AGT
CAMARA,IGNACIO,CUSTOMER SERVICE AGENT
GREEN,JANET,BRANCH MANAGER
CREECH,JOEANN,REGIONAL MANAGER
PHILLIPS,AARON,DEPT. MANAGER
ATTAWAY,ROBERTA,CUTSOMER SERIVCE AGENT
SIMMONS,ESTHER,MARKETING LEADER
TORRENCE,DAVE,GLOBAL MANAGER
ESTRELLA,BRIAN,BRANCH MANAGER
WISE,ELIZABETH,REGIONAL MGR.
CONNER,JIM,GLOBAL MGR
FELD,MARK,MARKETING LEADER
BAILEY,RAYMOND,CUSTOMER SERIVCE AGT
YOUNG,HELEN,DEPARTMENT MANAGER
CHIVERS,RONALD,REGIONAL MANAGER
